"nama_tabel","nama_kolom","tipe_data","tipe_prisma","kelompok"
"penduduk","sampah_buang","character varying","string","infrastruktur_lingkungan"
"penduduk","sampah_pilah","character varying","string","infrastruktur_lingkungan"
"penduduk","sampah_olah","character varying","string","infrastruktur_lingkungan"
"penduduk","rumah_pln","character varying","string","infrastruktur_lingkungan"
"penduduk","rp_listrik","numeric","float","infrastruktur_lingkungan"
"penduduk","wifi","text","string","infrastruktur_lingkungan"
"penduduk","airbersih","character varying","string","infrastruktur_lingkungan"
"penduduk","airminum","character varying","string","infrastruktur_lingkungan"
"penduduk","bahanbakar_masak","character varying","string","infrastruktur_lingkungan"
"penduduk","rumah_solar","character varying","string","infrastruktur_lingkungan"
"penduduk","par_organisasi","text","string","sosial_hukum_ham"
"penduduk","organisasi_nama","text","string","sosial_hukum_ham"
"penduduk","par_masyarakat","text","string","sosial_hukum_ham"
"penduduk","par_pemilu","text","string","sosial_hukum_ham"
"penduduk","par_kebijakan","character varying","string","sosial_hukum_ham"
"penduduk","bansos","text","string","sosial_hukum_ham"
"penduduk","rp_zakat","numeric","float","sosial_hukum_ham"
"penduduk","wakaf","text","string","sosial_hukum_ham"
"penduduk","rp_persepuluh","numeric","float","sosial_hukum_ham"
"penduduk","rp_dharma","numeric","float","sosial_hukum_ham"
"penduduk","rp_paramita","numeric","float","sosial_hukum_ham"
"penduduk","rp_sumbangan","numeric","float","sosial_hukum_ham"
"penduduk","disabilitas","character varying","string","sosial_hukum_ham"
"penduduk","korban_kejahatan","character varying","string","sosial_hukum_ham"
"penduduk","hukum_bantuan","character varying","string","sosial_hukum_ham"
"penduduk","hukum_jenis","text","string","sosial_hukum_ham"
"penduduk","tanah_nama","text","string","sosial_hukum_ham"
"penduduk","tanah_nomor","character varying","string","sosial_hukum_ham"
"penduduk","nomor_objek_pajak","text","string","sosial_hukum_ham"
"penduduk","tanah_bukti","text","string","sosial_hukum_ham"
"penduduk","pbb_punya","character varying","string","sosial_hukum_ham"
"penduduk","pbb_tahunbayar","integer","int","sosial_hukum_ham"
"penduduk","kesediaan","character varying","string","sosial_hukum_ham"
"penduduk","medsos","text","string","sosial_hukum_ham"
"penduduk","media_informasi","text","string","sosial_hukum_ham"
"penduduk","kandung","character varying","string","sosial_hukum_ham"
"penduduk","aset_ekonomi","text","string","sosial_hukum_ham"
"penduduk","pinjaman","character varying","string","sosial_hukum_ham"
"penduduk","kb","character varying","string","sosial_hukum_ham"
"penduduk","kulkas","character varying","string","sosial_hukum_ham"
"penduduk","sepeda_jml","integer","int","sosial_hukum_ham"
"penduduk","motor_jml","integer","int","sosial_hukum_ham"
"penduduk","motor_merk","character varying","string","sosial_hukum_ham"
"penduduk","mobil_jml","integer","int","sosial_hukum_ham"
"penduduk","mobil_merk","character varying","string","sosial_hukum_ham"
"penduduk","perahu_jml","integer","int","sosial_hukum_ham"
"penduduk","perahu_motor_jml","integer","int","sosial_hukum_ham"
"penduduk","kapal_jml","integer","int","sosial_hukum_ham"
"penduduk","motorlistrik_jml","integer","int","sosial_hukum_ham"
"penduduk","mobillistrik_jml","integer","int","sosial_hukum_ham"
"penduduk","kendaraan_jml","integer","int","sosial_hukum_ham"
"penduduk","rp_kendaraan","numeric","float","sosial_hukum_ham"
"penduduk","hp_punya","character varying","string","sosial_hukum_ham"
"penduduk","hp_jumlah","integer","int","sosial_hukum_ham"
"penduduk","hp_merk","character varying","string","sosial_hukum_ham"
"penduduk","hp_provider","character varying","string","sosial_hukum_ham"
"penduduk","rp_komunikasi","numeric","float","sosial_hukum_ham"
"penduduk","elektronik_rumah","text","string","sosial_hukum_ham"
"penduduk","rp_transportasi","numeric","float","sosial_hukum_ham"
"penduduk","rp_cicilan","numeric","float","sosial_hukum_ham"
"penduduk","kerja_profesi","character varying","string","kesehatan_kerja_jamsos"
"penduduk","kerja_status","character varying","string","kesehatan_kerja_jamsos"
"penduduk","kerja_ket","text","string","kesehatan_kerja_jamsos"
"penduduk","kerja_lokusaha","character varying","string","kesehatan_kerja_jamsos"
"penduduk","kerja_sampingan","character varying","string","kesehatan_kerja_jamsos"
"penduduk","kerja_sampingan_ket","text","string","kesehatan_kerja_jamsos"
"penduduk","kerja_skalausaha","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_kategori","character varying","string","kesehatan_kerja_jamsos"
